claimamt,vehage,CC,Length,Weight
105450.0,0,2523,4260,1615
25200.0,10,993,3495,875
60000.0,4,1405,4150,1070
72480.0,7,2446,4425,1470
77520.072,1,1086,3565,854
81105.6,0,1061,3520,825
67200.0,1,1405,3675,980
103464.0,1,1405,4150,1070
88800.0,2,1299,4140,978
59280.0,4,1061,3520,825
57600.096,1,1193,3675,980
38472.0,5,993,3495,875
24336.0,8,1405,3675,980
43200.0,4,1298,3675,975
64332.96,4,1948,4505,1820
55368.0,2,796,3495,725
29743.2,5,796,3370,750
82814.4,1,1086,3565,854
74095.68,1,1405,3675,980
58560.0,3,1061,3520,825
72360.0,3,1298,3695,980
108000.0,2,2499,4435,1585
49766.472,2,796,3495,740
51156.0,7,1597,4140,978
47520.0,3,796,3370,750
39960.0,6,1086,3565,854
108000.0,3,1495,4250,1023
78960.0,4,2609,4325,1880
64800.0,3,1405,4150,1070
80575.2,1,1086,3565,854
43200.0,3,1061,3520,825
86356.8,4,1599,4250,1023
75962.64,1,1086,3565,854
78254.4,1,1086,3565,854
40800.0,3,796,3370,750
104760.0,0,1299,4140,978
58192.56,1,1193,3675,980
30240.0,8,998,3565,854
30240.0,6,796,3495,740
45600.0,2,993,3495,875
40792.8,6,1061,3520,825
58752.0,3,1405,3675,980
57456.0,2,1086,3565,854
81161.04,0,1405,3675,980
36000.0,3,796,3495,740
59990.4,2,1405,3675,980
108000.0,4,2609,4325,1880
57614.76,2,1086,3565,854
69186.72,1,1086,3565,854
96000.0,3,1596,4282,1130
32400.0,9,2446,4425,1470
48480.0,4,993,3495,875
79800.0,0,1405,3675,980
71064.0,1,1086,3565,868
91200.0,0,1405,3675,980
68400.024,2,1405,3675,980
79802.4,0,995,3495,840
104644.704,1,1399,4310,1095
29152.8,6,993,3495,875
64800.0,3,1086,3565,854
96000.0,3,1800,4505,1820
37920.0,6,1061,3520,825
66000.0,3,1086,3565,854
79588.08,0,1405,3675,980
83624.4,0,1405,3675,980
69683.52,2,1298,3695,980
71703.36,2,1086,3565,868
76716.72,0,1086,3565,868
74440.32,0,1405,3675,980
97200.0,4,2609,4325,1880
86400.0,3,2609,4325,1880
95194.8,1,1405,3675,980
83624.16,1,1405,3675,980
24000.0,6,796,3335,665
46800.0,3,796,3495,740
